name,status,offset_xyz,target_xyz,start_xyz,final_xyz,final_error_m,min_error_m,max_move_m,first_move_s,first_within_s,sample_count
center,pass,"[0.0, 0.0, 0.0]","[-0.009399, -0.215037, 0.926106]","[-0.009399, -0.215037, 0.926106]","[-0.009399, -0.215037, 0.926106]",0.0,0.0,0.0,,0.09,25
x_plus,fail,"[0.03, 0.0, 0.0]","[0.020601, -0.215037, 0.926106]","[-0.009399, -0.215037, 0.926106]","[0.005298, -0.230034, 0.926106]",0.021426,0.021426,0.020998,0.435,,26
center_after_x_plus,pass,"[0.0, 0.0, 0.0]","[-0.009399, -0.215037, 0.926106]","[0.005298, -0.230034, 0.926106]","[-0.0094, -0.215038, 0.926106]",2e-06,2e-06,0.020997,1.344,1.344,25
x_minus,fail,"[-0.03, 0.0, 0.0]","[-0.039399, -0.215037, 0.926106]","[-0.0094, -0.215038, 0.926106]","[-0.024056, -0.200083, 0.925967]",0.021426,0.021423,0.02094,2.242,,25
center_after_x_minus,pass,"[0.0, 0.0, 0.0]","[-0.009399, -0.215037, 0.926106]","[-0.024056, -0.200083, 0.925967]","[-0.009399, -0.215035, 0.926106]",1e-06,1e-06,0.020938,0.671,0.864,26
z_plus,fail,"[0.0, 0.0, 0.03]","[-0.009399, -0.215037, 0.956106]","[-0.009399, -0.215035, 0.926106]","[-0.009399, -0.215035, 0.926106]",0.03,0.03,0.0,,,25
center_after_z_plus,pass,"[0.0, 0.0, 0.0]","[-0.009399, -0.215037, 0.926106]","[-0.009399, -0.215035, 0.926106]","[-0.009399, -0.215035, 0.926106]",1e-06,1e-06,0.0,,0.101,26
z_minus,pass,"[0.0, 0.0, -0.03]","[-0.009399, -0.215037, 0.896106]","[-0.009399, -0.215035, 0.926106]","[-0.009399, -0.215037, 0.896108]",2e-06,2e-06,0.029998,0.608,0.8,25
center_after_z_minus,pass,"[0.0, 0.0, 0.0]","[-0.009399, -0.215037, 0.926106]","[-0.009399, -0.215037, 0.896108]","[-0.0094, -0.215037, 0.926105]",1e-06,1e-06,0.029998,0.928,1.131,25
y_plus,fail,"[0.0, 0.02, 0.0]","[-0.009399, -0.195037, 0.926106]","[-0.0094, -0.215037, 0.926105]","[-0.019397, -0.204837, 0.926107]",0.014,0.014,0.014283,0.834,,26
center_after_y_plus,fail,"[0.0, 0.0, 0.0]","[-0.009399, -0.215037, 0.926106]","[-0.019397, -0.204837, 0.926107]","[-0.019397, -0.204837, 0.926107]",0.014283,0.014283,0.0,,,25
y_minus,fail,"[0.0, -0.02, 0.0]","[-0.009399, -0.235037, 0.926106]","[-0.019397, -0.204837, 0.926107]","[0.000596, -0.225239, 0.926106]",0.013996,0.013996,0.028566,1.376,,25
center_after_y_minus,pass,"[0.0, 0.0, 0.0]","[-0.009399, -0.215037, 0.926106]","[0.000596, -0.225239, 0.926106]","[-0.009401, -0.215039, 0.926106]",3e-06,3e-06,0.014282,1.108,1.108,26
x_plus_z_plus,fail,"[0.03, 0.0, 0.03]","[0.020601, -0.215037, 0.956106]","[-0.009401, -0.215039, 0.926106]","[0.011705, -0.236577, 0.954323]",0.023373,0.02239,0.041298,3.194,,25
center_after_x_plus_z_plus,pass,"[0.0, 0.0, 0.0]","[-0.009399, -0.215037, 0.926106]","[0.011705, -0.236577, 0.954323]","[-0.008828, -0.215627, 0.926856]",0.001112,0.001112,0.040186,5.016,5.016,25
x_plus_z_minus,fail,"[0.03, 0.0, -0.03]","[0.020601, -0.215037, 0.896106]","[-0.008828, -0.215627, 0.926856]","[0.004822, -0.229562, 0.896886]",0.021461,0.021461,0.035759,5.022,,26
center_after_x_plus_z_minus,fail,"[0.0, 0.0, 0.0]","[-0.009399, -0.215037, 0.926106]","[0.004822, -0.229562, 0.896886]","[0.00529, -0.230038, 0.896106]",0.036617,0.036116,0.001027,,,25
x_minus_z_plus,fail,"[-0.03, 0.0, 0.03]","[-0.039399, -0.215037, 0.956106]","[0.00529, -0.230038, 0.896106]","[0.00529, -0.230038, 0.896106]",0.076303,0.076303,0.0,,,25
center_after_x_minus_z_plus,pass,"[0.0, 0.0, 0.0]","[-0.009399, -0.215037, 0.926106]","[0.00529, -0.230038, 0.896106]","[-0.009406, -0.215044, 0.926104]",1e-05,1e-05,0.036615,2.409,2.606,26
x_minus_z_minus,fail,"[-0.03, 0.0, -0.03]","[-0.039399, -0.215037, 0.896106]","[-0.009406, -0.215044, 0.926104]","[-0.02174, -0.20246, 0.896946]",0.021696,0.021694,0.03407,1.546,,25
return_center,pass,"[0.0, 0.0, 0.0]","[-0.009399, -0.215037, 0.926106]","[-0.02174, -0.20246, 0.896946]","[-0.009414, -0.21505, 0.926106]",2e-05,2e-05,0.03407,1.391,1.774,25
